"ID","Site","TR","QUAD","Geno","GLS","SLA","Obs","Stg","FLN","FRN","INH","PL1","PL2","Nec","TCO","LFN","DLN","AvgPCD","herbType","y","date","H","W","FRL","PC","FLA","notes","x.2","trip","genoSuspect"
"p102","SOV","1","1",NA,NA,NA,"KM","X",NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","324","6/20/24",39.2,NA,"",NA,NA,"dead stalk","-17.7",1,"str"
"p1020","ARR","2","5",NA,NA,"","KM","R",0,0,"0","","","",NA,"13",2,10,"chew","50-16.5","7/9/24",24,22,NA,"","","","50-14",2,"ret"
"p1021","ARR","2","5",NA,NA,"","MS","FS",16,15,"55","","","",NA,"30",2,5,"chew","23","7/9/24",240,15,NA,"","","","35.5",2,"ret"
"p1022","ARR","2","5",NA,NA,"","KM","FS",3,9,"106","","","",NA,"16",1,20,"chew","50-9.5","7/9/24",330,11,NA,"","","nail outside of quad","0",2,"ret"
"p1023","ARR","2","5",NA,NA,"","KM","R",0,0,"0","","","",NA,"19",2,5,"chew","50-18.5","7/9/24",41,32,NA,"","","BWR","11.5",2,"ret"
"p1024","ARR","2","5",NA,NA,"","KM","R",0,0,"0","","","",NA,"18",3,5,"chew; window","50-22.5","7/9/24",45,28,NA,"","","BWR","8",2,"ret"
"p1025","ARR","2","5",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",4,5,"chew; window","1.5","7/9/24",20,15,NA,"","","","26",2,"ret"
"p1026","ARR","2","5",NA,NA,"","KM","R",0,0,"0","","","",NA,"14",0,0,"","50-22.5","7/9/24",36,28,NA,"","","BWR","2",2,"ret"
"p1027","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"14",0,0,"","2","7/10/24",26,20,NA,"","","","21",2,"hyb"
"p1028","TWM","2","1","1",NA,"","MS","SO",0,8,"73","","","",NA,"31",0,0,"","5.5","7/10/24",400,25,NA,"","","aphids on FR","31",2,"hyb"
"p1029","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","4.5","7/10/24",27,15,NA,"","","","31",2,"hyb"
"p103","SOV","1","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","370","6/20/24",3.9,4.1,"",NA,NA,"","-42",1,"str"
"p1030","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"9",3,5,"window; chew","16","7/10/24",20,30,NA,"","","","21.5",2,""
"p1031","TWM","2","1","1",242,"","MS","SO",0,6,"73","","","",NA,"27",0,0,"","15.5","7/10/24",340,22,NA,"","","nail uprooted plant :(","25",2,"hyb"
"p1032","TWM","2","1","1",NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","8.5","7/10/24",5,12,NA,"","","nail to E","35",2,"hyb"
"p1033","TWM","2","1",NA,NA,"","KM","SO",0,2,"6","","","",NA,"16",2,5,"window","50-6","7/10/24",177,14,NA,"","","dead stalk; nail to NW","4",2,"hyb"
"p1034","TWM","2","1",NA,243,"","MS","R",0,0,"0","","","",NA,"12",0,0,"","16","7/10/24",25,30,NA,"","","nail to W","35",2,"hyb"
"p1035","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","50-4.5","7/10/24",9,9,NA,"","","","21",2,"hyb"
"p1036","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",0,0,"","13","7/10/24",15,20,NA,"","","nail to E","48",2,"hyb"
"p1037","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"6",0,0,"","50-11.5","7/10/24",7,9,NA,"","","","50-20.5",2,"hyb"
"p1038","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",1,5,"chew","20","7/10/24",24,19,NA,"","","nail to E","44",2,"hyb"
"p1039","TWM","2","1",NA,244,"","KM","FS",4,7,"104","","","",NA,"20",0,0,"","50-1","7/10/24",394,24,NA,"","","1 ft gal; green aphids; pregante FR","50-2",2,"hyb"
"p104","SOV","1","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","360","6/20/24",0.9,0.7,"",NA,NA,"surrounded by 4 other rosets","-49",1,"str"
"p1040","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",0,0,"","24","7/10/24",25,30,NA,"","","","32",2,"hyb"
"p1041","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","50-23","7/10/24",4,5,NA,"","","","16.7",2,"hyb"
"p1042","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"7",0,0,"","19","7/10/24",7,12,NA,"","","","30",2,"hyb"
"p1043","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","50-12.3","7/10/24",8,5,NA,"","","","24.3",2,"hyb"
"p1044","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"10",0,0,"","50-15","7/10/24",25,24,NA,"","","","26",2,"hyb"
"p1045","TWM","2","1",NA,245,"","MS","SO",0,6,"80","","","",NA,"28",1,5,"chew","24","7/10/24",284,24,NA,"","","1 fl gall","9.5",2,"hyb"
"p1046","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"7",0,0,"","50-16.5","7/10/24",10,8,NA,"","","p1046-1047 share a nail","50-9",2,"hyb"
"p1047","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"6",0,0,"","50-17.8","7/10/24",16,13,NA,"","","p1046-1047 share a nail","50-9.8",2,"hyb"
"p1048","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",1,5,"chew","24","7/10/24",22,20,NA,"","","nail 5cm S","7.5",2,"hyb"
"p1049","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"12",0,0,"","50-19","7/10/24",36,39,NA,"","","BWR","50-9",2,"hyb"
"p105","SOV","1","1","1",102,"1","KM","FS",6,6,"4.9","0.4","0.9","0","0","26",4,15,"chewing","312","6/20/24",30.9,4.3,"0.9","1","1","2R & old stalk","-58.5",1,"str"
"p1050","TWM","2","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",1,40,"window","27","7/10/24",15,18,NA,"","","nail to E","18",2,"hyb"
"p1051","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"8",0,0,"","50-22","7/10/24",17,16,NA,"","","p1051-p1052 share a nail","50-15",2,"hyb"
"p1052","TWM","2","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"18",0,0,"","50-22.5","7/10/24",46,27,NA,"","","p1051-p1052 share a nail; 2 rosettes","50-13.5",2,"hyb"
"p1053","TWM","2","2","1",247,"","KM","R",0,0,"0","","","",NA,"17",2,5,"chew; window","3","7/10/24",33,32,NA,"","","BWR","3.5",2,"ret"
"p1054","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"5",0,0,"","50-4","7/10/24",4,10,NA,"","","","2.5",2,"ret"
"p1055","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"11",0,0,"","50-13.5","7/10/24",2,15,NA,"","","nail 3cm SE","13",2,"ret"
"p1056","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",1,10,"chew; window","7","7/10/24",18,21,NA,"","","","3",2,"ret"
"p1057","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"5",0,0,"","50-16","7/10/24",15,12,NA,"","","","6",2,"ret"
"p1058","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"10",0,0,"","17.5","7/10/24",16,17,NA,"","","BWR","25.5",2,"ret"
"p1059","TWM","2","2","1",NA,"","KM","R",0,0,"0","","","",NA,"11",1,5,"window","18","7/10/24",32,35,NA,"","","","29.5",2,"ret"
"p106","SOV","1","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"6",0,0,"","334","6/20/24",1.5,1.6,"",NA,NA,"","-62",1,"str"
"p1060","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"7",0,0,"","50-15.5","7/10/24",10,15,NA,"","","nail 3cm S","28",2,"ret"
"p1061","TWM","2","2",NA,NA,"","KM","FS",3,7,"84","","","",NA,"13",0,0,"","3.8","7/10/24",303,20,NA,"","","","50-11.5",2,"ret"
"p1062","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"9",0,0,"","50-14","7/10/24",10,13,NA,"","","","31",2,"ret"
"p1063","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"10",0,0,"","18.5","7/10/24",16,10,NA,"","","","1.7",2,"ret"
"p1064","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","50-19","7/10/24",9,13,NA,"","","","29",2,"ret"
"p1065","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"8",0,0,"","24.5","7/10/24",16,19,NA,"","","nail to E","5.5",2,"ret"
"p1066","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",0,0,"","28","7/10/24",14,20,NA,"","","","7",2,"ret"
"p1067","TWM","2","2",NA,NA,"","MS","FS",10,3,"40","","","",NA,"29",1,100,"absent","50-2","7/10/24",215,15,NA,"","","p1067-p1068 share nail 4cm to SE","32",2,"ret"
"p1068","TWM","2","2",NA,NA,"","MS","FS",4,3,"20","","","",NA,"18",0,0,"","50-3","7/10/24",178,10,NA,"","","p1067-p1068 share nail 4cm to SE","34",2,"ret"
"p1069","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",0,0,"","28","7/10/24",9,16,NA,"","","","50-8.5",2,"ret"
"p107","SOV","1","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"5",0,0,"","380","6/20/24",0.2,0.3,"",NA,NA,"","-39.6",1,"str"
"p1070","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"17",3,10,"window","28.1","7/10/24",37,16,NA,"","","p1070-p1071 share nail in between","23.5",2,"ret"
"p1071","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"15",2,5,"chew; window","29","7/10/24",17,21,NA,"","","p1070-p1071 share nail in between","25",2,"ret"
"p1072","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","50-4","7/10/24",3,15,NA,"","","","2",2,"ret"
"p1073","TWM","2","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"8",0,0,"","50-4","7/10/24",10,18,NA,"","","","50-4",2,"ret"
"p1074","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"11",0,0,"","36.2","7/10/24",31,19,NA,"","","BWR","50-8.5",2,"ret"
"p1075","TWM","2","2",NA,NA,"","MS","FS",10,5,"62","","","",NA,"22",2,5,"chew","50-8","7/10/24",299,18,NA,"","","","50-2",2,"ret"
"p1076","TWM","2","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",0,0,"","50-11","7/10/24",12,10,NA,"","","","50-9",2,"ret"
"p1077","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",0,0,"","25","7/10/24",4,10,NA,"","","nail 1 cm SW; sticking out","3.5",2,"hyb"
"p1078","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"14",0,0,"","35.5","7/10/24",21,18,NA,"","","nail 3cm to S; 1/2 out","50-5",2,"hyb"
"p1079","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","30","7/10/24",14,13,NA,"","","","50-14",2,"hyb"
"p108","SOV","1","1","1",105,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"12",0,0,"","391.4","6/20/24",1.8,3,"",NA,NA,"","-80",1,"str"
"p1080","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"8",0,0,"","32","7/10/24",12,20,NA,"","","black spots; 2nd nail 1/2 out","50-15",2,"hyb"
"p1081","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"11",0,0,"","50-20.5","7/10/24",21,14,NA,"","","BWR; nail to E 3cm; sticking out","7.5",2,"hyb"
"p1082","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"6",1,20,"chew","50-20","7/10/24",6,14,NA,"","","","4",2,"hyb"
"p1083","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"4",0,0,"","50-6","7/10/24",7,9,NA,"","","","50-16.5",2,"hyb"
"p1084","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","40","7/10/24",7,5,NA,"","","nail to SE; 1/2 way out; wonky","50-0.5",2,"hyb"
"p1085","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",0,0,"","48","7/10/24",10,6,NA,"","","","50-1.5",2,"hyb"
"p1086","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"3",0,0,"","11.5","7/10/24",6,10,NA,"","","nail to E","29.7",2,"hyb"
"p1087","TWM","1","1",NA,NA,"","KM","R",0,0,"0","","","",NA,"7",0,0,"","50-8.5","7/10/24",5,18,NA,"","","","50-15.5",2,"hyb"
"p1088","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",0,0,"","43.5","7/10/24",7,11,NA,"","","syrphid dly larvae (eating aphids?)","50-10",2,"hyb"
"p1089","TWM","1","1",NA,NA,"","MS","R",0,0,"0","","","",NA,"9",0,0,"","45","7/10/24",5,8,NA,"","","","50-9.5",2,"hyb"
"p109","SOV","1","1","1",NA,NA,"KM","FS",2,2,"2.7","0.4","0.6","0","0","15",NA,NA,"","331","6/20/24",25,2.8,"0.8","1","1","wilted and dead old stalk","-105",1,"str"
"p1090","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"6",0,0,"","6","7/10/24",8,7,NA,"","","nail to N","75",2,"hyb"
"p1091","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"4",0,0,"","2.5","7/10/24",8,15,NA,"","","","61",2,"hyb"
"p1092","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"7",0,0,"","11.5","7/10/24",9,12,NA,"","","","66.5",2,"hyb"
"p1093","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",0,0,"","32.5","7/10/24",29,14,NA,"","","BWR","4",2,"hyb"
"p1094","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","25","7/10/24",9,7,NA,"","","nail to E","19.3",2,"hyb"
"p1095","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"10",3,5,"window","11.5","7/10/24",10,12,NA,"","","nail 4cm to S","20.5",2,"hyb"
"p1096","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"9",1,5,"window","4","7/10/24",11,22,NA,"","","","12.5",2,"hyb"
"p1097","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"10",0,0,"","23.5","7/10/24",8,14,NA,"","","nail to W","69.5",2,"hyb"
"p1098","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"4",0,0,"","6","7/10/24",5,8,NA,"","","nail to W","26.5",2,"hyb"
"p1099","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"4",0,0,"","24.5","7/10/24",3,9,NA,"","","","100-36",2,"hyb"
"p110","SOV","1","1",NA,NA,NA,"CR","R",NA,NA,"",NA,NA,NA,NA,"10",0,0,"","352","6/20/24",3.8,3.2,"",NA,NA,"","-47",1,"str"
"p1100","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","28","7/10/24",9,10,NA,"","","","41.4",2,"hyb"
"p1101","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"5",0,0,"","37","7/10/24",4,6,NA,"","","","41.5",2,"hyb"
"p1102","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"12",0,0,"","13","7/10/24",13,16,NA,"","","","100-44",2,"hyb"
"p1103","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"4",0,0,"","45.5","7/10/24",6,6,NA,"","","nail 4cm to S","46.5",2,"hyb"
"p1104","TWM","1","2",NA,NA,"","KM","R",0,0,"0","","","",NA,"8",2,5,"window","58","7/10/24",10,15,NA,"","","nail 5cm to S","50",2,"hyb"
"p1105","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"7",0,0,"","26.5","7/10/24",7,7,NA,"","","p1105-p1106 share nail; sticking up to E","100-48",2,"hyb"
"p1106","TWM","1","2",NA,NA,"","MS","R",0,0,"0","","","",NA,"4",0,0,"","26","7/10/24",3,5,NA,"","","p1105-p1106 share nail; sticking up to E","100-50",2,"hyb"
"p1107","SOV","2","2","",NA,"","TM","SO",0,9,"88","","","","",NA,NA,NA,"","28.5","7/23/24",443,21,NA,"","","frt tips chewed; too dry to count DL","78",3,""
"p1108","SOV","2","2","",NA,"","KM","FS",1,15,"33","","","","","44",0,0,"","41","7/23/24",325,25,NA,"","","lots of dry leaves","37.5",3,""
"p1109","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","15",1,100,"absent","13.5","7/23/24",16,9,NA,"","","","85",3,""
"p111","SOV","1","1","1",104,"1","CR","FS",3,1,"2","0.4","0.8","0","0","32",2,10,"chewing; window","376","6/20/24",21.6,24.2,"0.8","1","1","2 old stalks","-123",1,"str"
"p1110","SOV","2","2","",NA,"","TM","SO",0,2,"8","","","","",NA,NA,NA,"","43","7/23/24",240,35,NA,"","","too dry to count DL; Lofi","81",3,""
"p1111","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","","14",0,0,"","44","7/23/24",27,16,NA,"","","","37.5",3,""
"p1112","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","","7",0,0,"","45.5","7/23/24",23,9,NA,"","","","36",3,""
"p1113","SOV","2","2","",NA,"","KM","SO",0,7,"43","","","","",NA,NA,NA,"","55.5","7/23/24",351,20,NA,"","","too dry to cout DL","44",3,""
"p1114","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","11",0,0,"","49.3","7/23/24",20,11,NA,"","","BWR","100-20.5",3,""
"p1115","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","1","9",0,0,"","30.5","7/23/24",29,15,NA,"","","","22.5",3,""
"p1116","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","14",0,0,"","57","7/23/24",27,16,NA,"","","","100-12.5",3,""
"p1117","SOV","2","2","",NA,"","KM","SO",0,1,"12","","","","",NA,NA,NA,"","56.5","7/23/24",211,17,NA,"","","too dry to count","48",3,""
"p1118","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","10",0,0,"","41","7/23/24",11,5,NA,"","","","100-38",3,""
"p1119","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","18",0,0,"","25.5","7/23/24",31,14,NA,"","","","100-33.5",3,""
"p112","SOV","1","1","1",103,"0","KM","FS",5,4,"2.3","0.3","0.6","0","0","24",0,0,"","320.2","6/20/24",26,1.9,"2.1","1","1","","-145.5",1,"str"
"p1120","SOV","2","2","",NA,"","KM","SO",0,7,"109","","","","",NA,NA,NA,"","32.5","7/23/24",357,25,NA,"","","too dry to count","51",3,""
"p1121","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","14",0,0,"","53.5","7/23/24",19,11,NA,"","","","100-33",3,""
"p1122","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","","9",0,0,"","47.5","7/23/24",31,15,NA,"","","BWR","60",3,""
"p1123","SOV","2","2","",NA,"","TM","FS",11,9,"33","","","","",NA,NA,NA,"","56","7/23/24",320,21,NA,"","","top curled; too dry to count","100-41",3,""
"p1124","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","","7",0,0,"","57","7/23/24",21,12,NA,"","","","50",3,""
"p1125","SOV","2","2","",NA,"","KM","R",0,0,"0","","","","","10",0,0,"","60","7/23/24",20,10,NA,"","","","51.5",3,""
"p1126","SOV","2","2","",NA,"","TM","R",0,0,"0","","","","","8",2,50,"gone","56","7/23/24",10,5,NA,"","","gone lvs dried","100-40",3,""
"p1127","SOV","2","3","",NA,"","TM","R",0,0,"0","","","","","21",1,20,"chew","50-20.5","7/23/24",31,17,NA,"","","BWR","21",3,""
"p1128","SOV","2","3","",NA,"","KM","R",0,0,"0","","","","","12",0,0,"","12.5","7/23/24",19,10,NA,"","","","16",3,""
"p1129","SOV","2","4","",NA,"","TM","SO",0,36,"357","","","","",NA,NA,NA,"","54","7/23/24",576,24,NA,"","","too dry too count","47",3,""
"p113","SOV","1","1",NA,NA,NA,"KM","R",NA,NA,"",NA,NA,NA,NA,"9",0,0,"","339.3","6/20/24",2.6,2.2,"",NA,NA,"rosette to the west","-140",1,"str"
"p1130","SOV","2","5","",NA,"","KM","R",0,0,"0","","","","","13",4,5,"chew","50-19.5","7/23/24",29,19,NA,"","","","50-18.5",3,""
"p1131","SOV","2","5","",NA,"","KM","R",0,0,"0","","","","","9",0,0,"","50-16","7/23/24",17,14,NA,"","","","50-21",3,""
"p1132","SOV","2","5","",NA,"","TM","R",0,0,"0","","","","","14",0,0,"","50-19.5","7/23/24",10,8,NA,"","","","10",3,""
"p1133","SOV","2","5","",NA,"","KM","R",0,0,"0","","","","","12",0,0,"","50-17.6","7/23/24",26,15,NA,"","","BWR","50-28.7",3,""
"p1134","SOV","2","5","",NA,"","TM","R",0,0,"0","","","","","18",0,0,"","50-12.5","7/23/24",31,15,NA,"","","","20",3,""
"p1135","SOV","2","6","",NA,"","KM","R",0,0,"0","","","","","12",0,0,"","4.8","7/23/24",66,11,NA,"","","BBBWR; n 4cm S","50-19.3",3,""
"p1136","SOV","2","6","",NA,"","TM","R",0,0,"0","","","","","19",0,0,"","50-12.5","7/23/24",15,11,NA,"","","","50-4",3,""
"p1137","SOV","2","6","",NA,"","TM","R",0,0,"0","","","","","17",0,0,"","50-9","7/23/24",20,17,NA,"","","","50-16.5",3,""
"p1138","SOV","1","3","",NA,"","MS","R",0,0,"0","","","","","8",0,0,"","32","7/24/24",7,7,NA,"","","","7",3,""
"p1139","SOV","1","3","",NA,"","TM","R",0,0,"0","","","","","14",0,0,"","7","7/24/24",11,9,NA,"","","BWR; nail to N","9",3,""
"p114","SOV","1","1","1",106,"1","CR","FS",5,4,"4.6","0.2","0.8","0","0","42",2,5,"window","364","6/20/24",49.4,4.8,"2.2","1","1","","-128",1,"str"
"p1140","SOV","1","3","",NA,"","MS","R",0,0,"0","","","","","15",0,0,"","38","7/24/24",10,7,NA,"","","nail to E","1",3,""
"p1141","SOV","1","3","",NA,"","TM","R",0,0,"0","","","","","27",0,0,"","17.5","7/24/24",17,15,NA,"","","","50-2",3,""
"p1142","SOV","1","3","",NA,"","MS","R",0,0,"0","","","","","12",0,0,"","46","7/24/24",8,6,NA,"","","nail is weirdly bad (E)","7",3,""
"p1143","SOV","1","3","",NA,"","MS","R",0,0,"0","","","","","20",0,0,"","49","7/24/24",10,10,NA,"","","nail is 7cm is w; outside quadrat","9",3,""
"p1144","SOV","1","4","",NA,"","MS","R",0,0,"0","","","","BWR","20",1,5,"window","26","7/24/24",31,17,NA,"","","","26.5",3,""
"p1145","SOV","1","5","",NA,"","MS","R",0,0,"0","","","","","12",0,0,"","62","7/24/24",19,14,NA,"","","","58",3,""
"p1146","ARR","1","5","",NA,"","MS","R",0,0,"0","","","","","11",0,0,"","16","7/25/24",25,15,NA,"","","regrowth; leaves dried out","46",3,""
"p1147","ARR","1","5","",NA,"","KM","FS",9,11,"14","","","","1","41",12,75,"chew; window; absent","37","7/25/24",204,20,NA,"","","BWR; some fruit aborted/eaten; DL","41",3,""
"p1148","ARR","1","6","",NA,"","KM","SO",12,8,"54","","","","","16",16,0,"","53.7","7/25/24",195,12,NA,"","","dry fruit; dehisced; dried leaves","45.4",3,""
"p1149","ARR","1","6","",NA,"","KM","R",0,0,"0","","","","","18",0,0,"","48.5","7/25/24",9,9,NA,"","","","57",3,""
"p115","SOV","1","1","1",107,"1","KM","FS",8,9,"4.8","0.4","0.8","0","0","47",3,5,"mining","329","6/20/24",26.3,3.8,"2.9","1","1","1 old stalk","-157",1,"str"
